model_name,rmse,mae,r2,adjusted_r2,mape,fold
linear_regression,1.0436643911452181,0.5869925518560918,0.15351204099968285,0.1532564588864581,138.9964507326195,1
ridge,1.0437135134102267,0.5866181240410582,0.15343235564343305,0.1531767494706201,138.64145200113666,1
lasso,1.1348338773240276,0.6668175799030032,-0.0008376552151814209,-0.001139840497553335,101.91733928534721,1
linear_regression,1.0485433617254691,0.6457423505413276,0.13360903139800906,0.13334743992198195,192.17176409018924,2
ridge,1.0485354387873544,0.6457254749731576,0.13362212448761113,0.13336053696481143,192.15617089698048,2
lasso,1.1291579021951643,0.6855519367975684,-0.004732574317510396,-0.00503593560202642,100.43128214186817,2
linear_regression,0.9623760536489834,0.5872982998524925,0.16334837830449467,0.16309576609987653,161.29005728529307,3
ridge,0.9623738758209134,0.587269056603255,0.1633521649351325,0.16309955387382058,161.0764697120086,3
lasso,1.0524171633469865,0.6759866329438521,-0.0005317743398740582,-0.0008338672669090386,104.56531020137392,3
linear_regression,0.8342996340120133,0.5494157252384535,0.16285301080331482,0.1626002490312144,187.28362210261315,4
ridge,0.8342930988890185,0.5494001255792343,0.16286612560497427,0.1626133677926569,187.24547264824915,4
lasso,0.912536954303485,0.63224157455238,-0.0015174831805306876,-0.0018198737249692787,110.43756495614664,4
linear_regression,0.7841089878825758,0.4963111500655491,0.18666784078959342,0.1864222694854839,140.3233338558681,5
ridge,0.7841047337533216,0.49630646186067506,0.18667666612076372,0.18643109748130737,140.31380376074821,5
lasso,0.8736346928959077,0.6085515285736255,-0.009659241107891958,-0.009964089912574359,106.13555142194448,5
