model_name,model_type,rmse,mae,r2,mape,fold
random_forest,advanced,0.7924013043139202,0.4736309170203789,0.1387232682137366,124.43314139077637,1
gradient_boosting,advanced,0.7914678036953061,0.4727294945105571,0.14075135366446434,123.72759880639548,1
linear_sgd,advanced,0.7964027309888979,0.4876421324570706,0.1300028452836346,118.82818653831558,1
lstm,advanced,0.7670918717993547,0.4829974080660974,0.19286326645830698,159.0577340733528,1
random_forest,advanced,1.0932782464924418,0.6009808332719285,0.08041881342632662,180.87533966140435,2
gradient_boosting,advanced,1.093263185324321,0.6010992737350815,0.0804441498335885,180.28474213853374,2
linear_sgd,advanced,1.0962749284630398,0.6240892587452395,0.07537074985151737,170.91716603455575,2
lstm,advanced,1.0375526593254638,0.5419560575358109,0.17177380973767986,180.33213631862625,2
random_forest,advanced,1.037356770524008,0.5920005472367554,0.0843975232454981,134.1046748827485,3
gradient_boosting,advanced,1.0372461248947447,0.5917463463156306,0.08459283119025429,133.15533846533586,3
linear_sgd,advanced,1.0383724251585638,0.6144361747709725,0.08260375052255553,134.09067693815723,3
lstm,advanced,0.9937632258155089,0.6037974670140952,0.15973454249346997,196.26410013342434,3
random_forest,advanced,0.8764440293273298,0.5717929331151302,0.11436928850099404,274.75144264711196,4
gradient_boosting,advanced,0.8764061155726676,0.5718019484991751,0.11444590915932185,273.98381316148755,4
linear_sgd,advanced,0.8802300673284728,0.5824009400924083,0.1067013175150312,238.70810319738447,4
lstm,advanced,0.8221484738220688,0.5248023302558911,0.22069976952926562,182.19119269615229,4
random_forest,advanced,0.8677807932994035,0.579761648266746,0.04887350800045431,144.32753779544234,5
gradient_boosting,advanced,0.8675545901750498,0.5799061477960226,0.04936930081974922,144.0983614209669,5
linear_sgd,advanced,0.8690606422845586,0.5890737146454578,0.046065895864145556,136.1404176735386,5
lstm,advanced,0.7845407861475698,0.4367630379227891,0.22259153764310013,124.38249087443995,5
